,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
1687100,"Feb 25, 2022",0,"Action,Sports,Early Access",0 - 0,0,0,0
1264510,"Mar 25, 2020",0,"Action,Indie",0 - 0,0,0,0
2878480,"May 12, 2024",0,,0 - 0,0,0,0
1522450,"Jan 15, 2021",0,,0 - 0,0,0,0
853330,"Apr 2, 2020",0,"Action,Adventure,Racing,Simulation",0 - 0,0,0,0
3928710,"Nov 17, 2025",0,"Adventure,Casual",0 - 0,0,0,0
3760860,"Sep 8, 2025",0,,0 - 0,0,0,0
1292940,"Oct 14, 2020",44,,200000 - 500000,407,6674,122
600170,"Mar 10, 2017",50,"Adventure,Casual",0 - 20000,0,8,0
1916860,"Jun 7, 2022",0,"Adventure,Indie",50000 - 100000,0,12,2
1498250,"Feb 24, 2021",0,"Action,Free To Play,Early Access",0 - 20000,0,72,15
624270,"Sep 27, 2017",60,"Adventure,Indie",500000 - 1000000,423,4753,464
1441300,"Nov 11, 2020",65,"Action,Indie",0 - 20000,0,24,5
2779130,"Feb 23, 2024",0,"Action,Adventure,Massively Multiplayer,RPG,Strategy,Free To Play,Early Access",0 - 0,0,0,0
2175000,"Nov 30, 2022",0,"Simulation,Strategy",0 - 20000,0,0,1
1701780,"Sep 2, 2021",0,,0 - 0,0,0,0
602120,"Mar 21, 2017",0,"Action,Indie",0 - 20000,0,54,5
3600620,"May 1, 2025",0,"Action,Adventure,Indie,Free To Play",0 - 0,0,0,0
3705430,"May 29, 2025",40,"Casual,Indie,Strategy",0 - 20000,0,0,0
2791860,"Feb 24, 2024",50,"Adventure,RPG,Early Access",0 - 20000,0,1,0
1508260,"Mar 1, 2021",0,"Indie,RPG",0 - 20000,0,30,5
717800,"May 8, 2019",0,"Indie,Simulation,Strategy,Early Access",0 - 20000,0,19,16
389430,"Jan 25, 2016",0,"Action,Adventure,Free To Play,Massively Multiplayer,RPG",2000000 - 5000000,4439,5482,5404
705160,"Sep 27, 2017",0,"Animation & Modeling,Education,Utilities,Video Production",20000 - 50000,157,190,86
1668460,"Feb 18, 2024",15,"Action,Adventure,Early Access",0 - 20000,30,318,33
1980470,"Sep 9, 2022",0,"Design & Illustration,Photo Editing,Utilities,Video Production,Game Development",0 - 20000,0,7,3
1078370,"Mar 28, 2022",60,"Indie,RPG",0 - 20000,141,59,24
2817950,"May 8, 2024",50,"Action,Early Access",0 - 20000,0,6,2
2801970,"Jul 22, 2024",65,Casual,0 - 20000,0,0,0
3707540,"May 1, 2025",0,,0 - 0,0,0,0
2855280,"May 6, 2025",0,"Adventure,Casual,Indie",0 - 20000,0,1,0
607860,"Mar 22, 2017",0,"Casual,Free To Play,Simulation",0 - 20000,0,24,12
1982240,"May 12, 2022",30,RPG,20000 - 50000,0,4,0
3630160,"May 13, 2025",15,Action,0 - 20000,0,10,0
1450760,"Nov 3, 2020",76,"Casual,Indie",0 - 20000,0,0,0
292350,"Apr 4, 2014",70,"Education,Software Training",0 - 20000,1,21,6
3207300,"Jun 2, 2025",0,"Adventure,Indie,Simulation",0 - 20000,0,0,0
495890,"Jul 25, 2016",20,"Casual,Indie",200000 - 500000,313,11512,591
2957940,"May 29, 2024",0,"Action,Adventure,Indie,Free To Play",0 - 0,0,0,0
2975870,"Nov 5, 2024",20,Indie,0 - 20000,0,32,3
1273220,"Oct 13, 2022",90,"Indie,Simulation,Strategy",20000 - 50000,179,117,114
1240600,"Feb 17, 2020",72,"Action,Adventure,Indie,RPG,Strategy",0 - 20000,0,2,10
520610,"Oct 27, 2016",51,Strategy,20000 - 50000,4,74,19
939850,"Aug 29, 2019",50,Adventure,500000 - 1000000,356,8812,2797
3670750,"May 19, 2025",40,"Indie,RPG",0 - 20000,0,3,0
3714790,"May 27, 2025",50,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Strategy",0 - 20000,0,7,3
2500750,"Jul 25, 2023",20,"Action,Adventure,Indie",100000 - 200000,530,1547,1352
1622560,"Jan 13, 2022",0,"Action,Casual,Indie",0 - 20000,0,10,3
3064220,"Jul 22, 2024",0,,0 - 0,0,0,0
964100,"Mar 7, 2019",0,"Casual,Indie,Simulation,Strategy",0 - 20000,0,3,2
237970,"May 13, 2014",80,"Adventure,Indie",0 - 20000,0,92,40
1631160,"Jul 9, 2021",0,"Indie,Simulation",0 - 20000,0,25,3
2707960,"Apr 1, 2024",50,Racing,0 - 20000,0,6,1
3555430,"Nov 27, 2025",0,"Casual,Indie,Simulation,Free To Play",0 - 0,0,0,0
2466850,"Jul 5, 2023",0,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Sports,Strategy",0 - 0,0,0,0
3817910,"Jul 10, 2025",0,"Action,Casual,Indie",0 - 20000,0,0,0
894460,"Oct 5, 2018",0,"Casual,Indie,Simulation",0 - 20000,261,111,8
3139180,"Aug 19, 2024",0,"Casual,Indie,Strategy",0 - 20000,0,1,0
3444050,"Mar 27, 2025",0,"Adventure,Casual,Indie",0 - 20000,0,101,2
858100,"Mar 26, 2019",0,"Adventure,Indie,RPG,Strategy",20000 - 50000,1,102,40
2026140,"Jul 28, 2022",0,"Indie,Strategy",0 - 20000,0,1,0
2633330,"May 29, 2024",0,"Action,Adventure,Casual,Indie,Simulation",0 - 20000,0,0,0
1246320,"Feb 29, 2020",0,"Action,Indie,Simulation",0 - 20000,0,1,1
4061580,"Nov 4, 2025",0,"Adventure,Casual,Indie,Early Access",0 - 20000,0,0,0
2017000,"Oct 1, 2022",0,"Action,Casual,Indie,RPG,Strategy",0 - 20000,0,1,0
3720430,"Jul 25, 2025",67,"Casual,Indie,Strategy,Early Access",0 - 20000,0,0,0
1331420,"Jun 6, 2022",0,"Action,Indie,RPG",0 - 20000,0,33,9
1258830,"Jan 24, 2021",0,"Action,Adventure,Indie",0 - 20000,0,2,2
727060,"Dec 1, 2017",0,"Adventure,Indie",0 - 20000,0,9,5
566250,"Dec 5, 2017",51,Action,0 - 20000,0,1,2
2824360,"Nov 27, 2024",0,"Casual,Indie,Strategy",0 - 20000,0,1,0
2930580,"May 20, 2024",0,"Casual,Indie,RPG,Simulation",0 - 20000,0,0,0
1971380,"Oct 12, 2022",0,"Action,Indie",0 - 20000,0,1,0
2411260,"May 24, 2023",0,Action,0 - 20000,0,0,0
2739670,"Dec 16, 2023",0,,0 - 0,0,0,0
2223220,"Sep 21, 2024",67,"Action,Adventure,Indie,Strategy",0 - 20000,0,8,1
3305630,"Apr 27, 2025",0,"Action,Adventure,Indie,Free To Play",0 - 20000,0,0,0
1675670,"Oct 18, 2021",0,"Action,Indie,Simulation",50000 - 100000,58,752,28
1391280,"Aug 28, 2020",25,"Casual,Indie,Simulation,Sports,Strategy",0 - 20000,0,0,0
2189930,"Nov 15, 2022",0,"Adventure,Simulation,Early Access",0 - 20000,0,6,0
2752240,"Nov 25, 2025",0,"Adventure,Casual,Indie,Simulation",0 - 20000,0,0,0
3318390,"Nov 8, 2024",0,,0 - 0,0,0,0
3866620,"Oct 24, 2025",40,"Action,Adventure,Casual,Indie,RPG,Early Access",0 - 20000,0,0,0
443070,"May 2, 2016",0,"Action,Indie",0 - 20000,0,1,8
